MEMNAME,MEMLABEL,NAME,TYPE,LENGTH,VARNUM,LABEL,FORMAT,FORMATL,INFORMAT
BACH3PUBLICUSE,,ABANDONED_2,1,8,608,PINC: N1d. Neighborhood: Abandoned buildings,X1336F,0,
BACH3PUBLICUSE,,ABSOLUTE_BASOPHILS_2,1,8,646,PLAB: T3. ABSOLUTE BASOPHILS (cells/mm3),X1055F,0,
BACH3PUBLICUSE,,ABSOLUTE_EOSINOPHILS_2,1,8,647,PLAB: T3. ABSOLUTE EOSINOPHILS (cells/mm3),X1055F,0,
BACH3PUBLICUSE,,ABSOLUTE_LYMPHOCYTES_2,1,8,648,PLAB: T3. ABSOLUTE LYMPHOCYTES (cells/mm3),X1055F,0,
BACH3PUBLICUSE,,ABSOLUTE_MONOCYTES_2,1,8,649,PLAB: T3. ABSOLUTE MONOCYTES (cells/mm3),X1055F,0,
BACH3PUBLICUSE,,ABSOLUTE_NEUTROPHILS_2,1,8,650,PLAB: T3. ABSOLUTE NEUTROPHILS (cells/mm3),X1055F,0,
BACH3PUBLICUSE,,ACSS_INTRNET_2,1,8,590,PINB: L7*c. Access the internet?,X1359F,0,
BACH3PUBLICUSE,,AFRAID_2,1,8,518,PINB: H1d. Do people act as if they are afraid of you.,X1279F,0,
BACH3PUBLICUSE,,AGAINSTME_2,1,8,548,PINB: J1*o. I feel sure that everyone is against me.,X1336F,0,
BACH3PUBLICUSE,,ALCOH30DY_1,1,8,325,FOFC: T2c. Have you had an alcoholic drink in the past 30 days?,X1250F,0,
BACH3PUBLICUSE,,ALCOHOL_2,1,8,614,PINC: N1j. Neighborhood: Alcohol,X1336F,0,
BACH3PUBLICUSE,,ALLERGY,1,8,23,FOID: E3f. Allergies or eczema,X1255F,0,
BACH3PUBLICUSE,,ALLERGY_1,1,8,218,FOFB: E1x. Ever told you had: Allergies,X1250F,0,
BACH3PUBLICUSE,,AMS01_1,1,8,287,FOFC: H18a. Symptoms : Decline in your feeling of general well being,X1190F,0,
BACH3PUBLICUSE,,AMS02_1,1,8,288,FOFC: H18b. Symptoms : Joint pain muscular ache,X1190F,0,
BACH3PUBLICUSE,,AMS03_1,1,8,289,FOFC: H18c. Symptoms : Excessive Sweating,X1190F,0,
BACH3PUBLICUSE,,AMS04_1,1,8,290,FOFC: H18d. Symptoms : Sleep Problems,X1190F,0,
BACH3PUBLICUSE,,AMS05_1,1,8,291,FOFC: H18e. Symptoms : Increased need for sleep,X1190F,0,
BACH3PUBLICUSE,,AMS06_1,1,8,292,FOFC: H18f. Symptoms : Irritability,X1190F,0,
BACH3PUBLICUSE,,AMS07_1,1,8,293,FOFC: H18g. Symptoms :Nervousness,X1190F,0,
BACH3PUBLICUSE,,AMS08_1,1,8,294,FOFC: H18h. Symptoms : Anxiety,X1190F,0,
BACH3PUBLICUSE,,AMS09_1,1,8,295,FOFC: H18i. Symptoms : Physical Exhaustion/ Lacking Vitality,X1190F,0,
BACH3PUBLICUSE,,AMS10_1,1,8,296,FOFC: H18j. Symptoms : Decrease in muscular strength,X1190F,0,
BACH3PUBLICUSE,,AMS11_1,1,8,297,FOFC: H18k. Symptoms : Depressive mood,X1190F,0,
BACH3PUBLICUSE,,AMS12_1,1,8,298,FOFC: H18l. Symptoms : Feeling that you have passed your peak,X1190F,0,
BACH3PUBLICUSE,,AMS13_1,1,8,299,"FOFC: H18m. Symptoms : Feeling burn't out, having hit rock bottom",X1190F,0,
BACH3PUBLICUSE,,AMS14_1,1,8,300,FOFC: H18q. Symptoms : Decrease in beard growth,X1190F,0,
BACH3PUBLICUSE,,AMS15_1,1,8,301,FOFC: H18o. Symptoms : Decrease in ability to perform sexually,X1190F,0,
BACH3PUBLICUSE,,AMS16_1,1,8,302,FOFC: H18p. Symptoms : Decrease in number of morning erection,X1190F,0,
BACH3PUBLICUSE,,AMS17_1,1,8,303,FOFC: H18n. Symptoms : Decrease in sexual disire/libido,X1190F,0,
BACH3PUBLICUSE,,ANEUR,1,8,33,FOID: E3r. Aortic aneurysm,X1255F,0,
BACH3PUBLICUSE,,ANGINA,1,8,26,FOID: E3i. Angina pectoris,X1255F,0,
BACH3PUBLICUSE,,ANGINA_1,1,8,220,FOFB: E1z. Ever told you had: Angina pectoris,X1250F,0,
BACH3PUBLICUSE,,ANGINA_2,1,8,404,PINA: C1*k. Ever told you had: Angina pectoris,X1361F,0,
BACH3PUBLICUSE,,ANYTHING_2,1,8,535,PINB: J1*b. I can do just about anything I really set my mind to.,X1336F,0,
BACH3PUBLICUSE,,APO_A1_MGDL,1,8,135,FLAB: T1. AP0_A1_MGDL (mg/dL) (Max value 275),X1055F,0,
BACH3PUBLICUSE,,APO_B_MGDL,1,8,134,FLAB: T1. APO_B_MGDL (mg/dL) (Max value 184),X1055F,0,
BACH3PUBLICUSE,,APPEARANCE_2,1,8,521,PINB: H3*b. How often: be very careful about your appearance,X1279F,0,
BACH3PUBLICUSE,,ARMCIR_2,1,8,627,PPMF: C1. Arm circumference(cm),X1265F,0,
BACH3PUBLICUSE,,ARRHYTH,1,8,27,FOID: E3j. An irregular heartbeat or arrhythmia,X1255F,0,
BACH3PUBLICUSE,,ARRHYTH_1,1,8,221,FOFB: E1aa. Ever told you had: Irregular heartbeat,X1250F,0,
BACH3PUBLICUSE,,ARTHR,1,8,43,FOID: E3z. Arthritis or rheumatism,X1255F,0,
BACH3PUBLICUSE,,ARTHR_1,1,8,215,FOFB: E1l. Ever told you had: Arthritis,X1250F,0,
BACH3PUBLICUSE,,ASTHMA,1,8,21,FOID: E3d. Asthma,X1255F,0,
BACH3PUBLICUSE,,ASTHMA_1,1,8,212,FOFB: E1f. Ever told you had: Asthma,X1250F,0,
BACH3PUBLICUSE,,AVGNDRNK,1,8,107,"FOIF: J11. Now, how many drinks on average... those occasions?",X1055F,0,
BACH3PUBLICUSE,,AVGNDRNK_1,1,8,308,FOFC: I12. How many drinks on average do you have,X1055F,0,
