MEMNAME,MEMLABEL,NAME,TYPE,LENGTH,VARNUM,LABEL,FORMAT,FORMATL,INFORMAT
REPOSITMAIN2,,ADBEAT,1,8,559,"FOSM: PM21a. Hit, kick, or beat you",X4105F,0,
REPOSITMAIN2,,ADEMLABS,1,8,561,"FOSM: PM21c. Emotionally abuse, humiliate, or insult you",X4105F,0,
REPOSITMAIN2,,ADEXPORG,1,8,553,FOSM: PM20a. Exposed the sex organ of their body to you,X4133F,0,
REPOSITMAIN2,,ADFRCSX,1,8,557,FOSM: PM20e. Forced you to have sex,X4133F,0,
REPOSITMAIN2,,ADOHUNSX,1,8,558,FOSM: PM20f. Have you had any other unwanted sexual experiences,X4133F,0,
REPOSITMAIN2,,ADTCHORG,1,8,555,FOSM: PM20c. Touched the sex organs of your body,X4133F,0,
REPOSITMAIN2,,ADTHRTLF,1,8,560,FOSM: PM21b. Seriously threaten your life,X4105F,0,
REPOSITMAIN2,,ADTHRTSX,1,8,554,FOSM: PM20b. Threatened to have sex with you,X4133F,0,
REPOSITMAIN2,,ADYUTCH,1,8,556,FOSM: PM20d. Made you touch the sex organs of their body,X4133F,0,
REPOSITMAIN2,,ALLERAGE,1,8,75,FOID: E3fii. How old were you when you were first told,X4140F,0,
REPOSITMAIN2,,ALLERGY,1,8,73,FOID: E3f. Allergies or eczema,X4134F,0,
REPOSITMAIN2,,ALLERTX,1,8,74,FOID: E3fi. Have you ever or are you currently receiving treatment,X4131F,0,
REPOSITMAIN2,,ANEUR,1,8,109,FOID: E3r. Aortic aneurysm,X4134F,0,
REPOSITMAIN2,,ANEURAGE,1,8,111,FOID: E3rii. How old were you when you were first told,X4140F,0,
REPOSITMAIN2,,ANEURTX,1,8,110,FOID: E3ri. Have you ever or are you currently receiving treatment,X4131F,0,
REPOSITMAIN2,,ANGINA,1,8,82,FOID: E3i. Angina pectoris,X4134F,0,
REPOSITMAIN2,,ANGNAAGE,1,8,84,FOID: E3iii. How old were you when you were first told,X4140F,0,
REPOSITMAIN2,,ANGNATX,1,8,83,FOID: E3ii. Have you ever or are you currently receiving treatment,X4131F,0,
REPOSITMAIN2,,ANYINS,1,8,276,FOIE: E11j. Any health insurance,X4133F,0,
REPOSITMAIN2,,ARMCM00,1,8,572,FOSC: C2. Arm circumference,X4140F,0,
REPOSITMAIN2,,ARRAGE,1,8,87,FOID: E3jii. How old were you when you were first told,X4140F,0,
REPOSITMAIN2,,ARRHYTH,1,8,85,FOID: E3j. An irregular heartbeat or arrhythmia,X4134F,0,
